NO,Lon,Lat,lat,Alt,alt,Eco,flux,MAT,LAI,SOC,SWC,YN
42,103.63,30.58,3,NA,NAA,Forest,265.6671429,16.43856496,1.323757764,1.12,0.126637549,NLT
43,103,30.3,3,660,1,Forest,592,11.06999365,3.071304348,1.16,0.056730322,NLT
44,110.57,30.42,3,NA,NAA,Cropland,735,13.89999359,2.290869565,1.2,0.076118992,NLT
45,110.57,30.42,3,NA,NAA,Forest,680,13.89999359,2.290869565,1.2,0.076118992,NLT
46,120.17,30.52,3,NA,NAA,Forest,748.5,17.23999351,1.82625,1.31,0.338209082,NLT
47,120.17,30.52,3,NA,NAA,Cropland,779,17.23999351,1.82625,1.31,0.338209082,NLT
48,105.45,31.27,3,410,1,Grassland,488.6,17.00249351,0.99875,0.75,0.109027735,NLT
49,105.45,31.27,3,410,1,Forest,593.908,17.05799351,0.966869565,0.75,0.107501847,NLT
50,105.45,31.27,3,410,1,Cropland,384.86,16.96666018,0.994347826,0.75,0.109291396,NLT
51,110.48,31.32,3,1670,2,Forest,628.64,6.924993742,3.331086957,0.74,0.052768903,NLT
52,110.5,31.32,3,1970,2,Forest,627,6.949993741,3.406086957,0.74,0.05306811,NLT
53,110.5,31.33,3,780,1,Forest,624,6.949993741,3.406086957,0.74,0.05306811,NLT
54,110.3,31.47,3,2570,3,Forest,482.39,2.154993849,3.101304348,0.74,0.064747512,LT
55,102.58,31.58,3,3210,4,Forest,875.9126667,-0.250006098,1.001304348,1.41,0.059087339,LT
56,119.23,31.98,3,NA,NAA,Forest,564.795,16.61999352,0.70673913,2.41,0.269684847,NLT
57,118.8,32,3,NA,NAA,Cropland,885.2183333,16.83196322,0.606322885,0.8,0.150656535,NLT
58,118.85,32.07,3,NA,NAA,Forest,916,15.94999354,0.609565217,0.98,0.115527069,NLT
59,118.87,32.07,3,NA,NAA,Forest,957,15.94999354,0.609565217,0.98,0.104098659,NLT
60,118.88,32.07,3,NA,NAA,Grassland,1563,15.94999354,0.609565217,0.98,0.104098659,NLT
61,118.7,32.18,3,NA,NAA,Forest,899.64,16.03299354,0.837009662,0.98,0.155052552,NLT
62,119.67,32.33,3,NA,NAA,Forest,550,16.65999352,1.079347826,1.12,0.164247291,NLT
63,106.92,32.67,3,NA,NAA,Forest,646,7.159993736,3.55,0.4,0.069837639,NLT
64,108.5,33.38,3,NA,NAA,Forest,525.0083333,7.624993726,3.532131643,0.4,0.069546161,NLT
65,111.93,33.47,3,1350,2,Forest,951.4510526,11.86999363,3.069313501,0.7,0.072161665,NLT
66,108.62,34.22,3,NA,NAA,Forest,201,14.93999356,0.483695652,1.12,0.071403545,NLT
67,113.65,34.8,3,NA,NAA,Cropland,929.5,16.12999354,0.682826087,0.6,0.090407923,NLT
68,112.47,35.02,3,NA,NAA,Forest,788.1321739,14.80347183,1.125113422,0.36,0.095019369,NLT
69,116.37,35.07,3,NA,NAA,Cropland,286.1428571,14.50999357,0.76,0.6,0.099076869,NLT
70,107.67,35.2,3,NA,NAA,Cropland,679.602,9.577327016,0.714928502,0.65,0.063117814,NLT
71,118.07,35.25,3,NA,NAA,Forest,895.5,13.94499359,0.582362319,0.83,0.095890133,NLT
72,106.32,35.47,3,NA,NAA,Forest,441.6666667,6.729993746,0.961956522,1.64,0.069346922,NLT
73,106.32,35.47,3,NA,NAA,Cropland,191,6.729993746,0.961956522,1.64,0.069346922,NLT
74,106.32,35.47,3,NA,NAA,Grassland,508,6.729993746,0.961956522,1.64,0.069346922,NLT
75,109.53,36.43,3,1353,2,Forest,1218.5,9.099993693,0.658043478,0.65,0.056002107,NLT
76,114.2,36.5,3,NA,NAA,Cropland,190.75,14.17999358,0.327391304,0.36,0.076269316,NLT
77,115.03,36.68,3,NA,NAA,Cropland,698.1111111,13.99999358,0.976086957,0.97,0.072365939,NLT
78,115.02,36.87,3,NA,NAA,Cropland,561,14.00999358,0.795652174,0.6,0.074520118,NLT
79,116.6,36.95,3,NA,NAA,Cropland,758.3333333,13.75999359,0.640217391,0.6,0.091025135,NLT
80,118.12,36.95,3,NA,NAA,Cropland,662,14.45999357,0.552391304,0.63,0.132807243,NLT
81,101.25,37.53,3,NA,NAA,Grassland,486.5,0.499993885,0.834583333,3.02,0.092566464,LT
82,105.03,37.53,3,NA,NAA,Desert,164.879,9.134993693,0.040826087,0.43,0.090037635,NLT
83,101.32,37.62,3,NA,NAA,Grassland,592.6,-1.058642443,0.79253758,1.13,0.076010315,LT
84,101.32,37.62,3,NA,NAA,Cropland,389,-1.680006066,0.72,1.13,0.075142638,LT
85,112.32,37.72,3,NA,NAA,Forest,962.6666667,7.246660401,0.423333333,0.51,0.092394181,NLT
86,112.32,37.72,3,NA,NAA,Grassland,1027.666667,7.246660401,0.423333333,0.51,0.092394181,NLT
87,112.32,37.72,3,NA,NAA,Shrubland,1030.333333,7.196660402,0.467028986,0.51,0.090336011,NLT
88,112.6,37.8,3,NA,NAA,Cropland,1476,11.23999365,0.145434783,0.36,0.051489808,NLT
89,114.67,37.83,3,NA,NAA,Cropland,462.3333333,13.74999359,0.145434783,0.63,0.048385629,NLT
90,100.58,38.48,3,NA,NAA,Grassland,397.6666667,4.939993786,0.303478261,0.41,0.050238541,NLT
91,110.37,38.77,3,NA,NAA,Cropland,396.625,9.159993692,0.162173913,0.36,0.065835479,NLT
92,110.37,38.77,3,NA,NAA,Grassland,485.75,9.159993692,0.162173913,0.36,0.065835479,NLT
93,128.1,42.4,4,738,1,Forest,838.586,3.255630188,1.717518032,1.65,0.076960396,LT
94,125,42.5,4,NA,NAA,Forest,520.402,6.029993762,2.162084058,0.83,0.101736556,NLT
95,117.35,42.5,4,1400,2,Forest,537.0633333,0.755827213,0.930742754,1.6,0.094311951,LT
96,117.35,42.5,4,NA,NAA,Shrubland,584.5,0.713327214,0.937826087,1.6,0.095296354,LT
97,117.35,42.5,4,NA,NAA,Grassland,521.08,0.665812063,0.939986855,1.6,0.096714326,LT
98,120.72,42.93,4,NA,NAA,Grassland,279.4,7.029993739,0.201956522,0.43,0.070614655,NLT
99,116.37,43.43,4,NA,NAA,Grassland,262.8888889,1.577771639,0.29738124,1.65,0.121181919,LT
100,116.08,43.52,4,NA,NAA,Grassland,254.3333333,1.849993855,0.200217391,0.5,0.086008233,LT
101,116.55,43.53,4,NA,NAA,Grassland,185,2.643327171,0.206449275,0.4,0.091272443,LT
102,116.67,43.55,4,NA,NAA,Grassland,227.3333333,2.695296867,0.264948882,0.4,0.109503222,LT
103,116.67,43.55,4,NA,NAA,Forest,1274,1.329993867,0.292173913,0.4,0.094375893,LT
104,116.53,43.6,4,NA,NAA,Grassland,160,2.97999383,0.177826087,1.65,0.104348569,LT
105,115.9,44.08,4,NA,NAA,Grassland,123,3.426660487,0.118695652,1.2,0.0905153,LT
106,125.55,44.2,4,NA,NAA,Cropland,565.3766667,6.183327091,0.93,1.95,0.086150541,NLT
107,116.5,44.53,4,NA,NAA,Grassland,285,3.629993815,0.12625,1.37,0.092934,LT
108,127.67,45.4,4,300,1,Forest,583.7246667,1.343660533,2.436297907,0.74,0.114737544,LT
109,126.13,47.1,4,NA,NAA,Cropland,517.1666667,4.183327136,0.799637681,1.95,0.09458773,NLT
110,108.84,18.63,1,850,1,Forest,684.6333333,22.3099934,3.782608696,0.98,0.370724897,NLT
111,108.88,18.61,1,870,1,Forest,1673,22.1499934,7.13673913,0.73,0.496046968,NLT
112,108.84,18.61,1,1000,2,Forest,1239,22.2699934,3.507608696,0.98,0.375785692,NLT
113,109.91,19.71,1,33,1,Forest,972.18,25.36999333,2.47326087,1.12,0.607231115,NLT
114,110.08,21.27,2,99,1,Forest,1022.5,23.86999336,1.369782609,2.25,0.273282955,NLT
115,112.83,22.62,2,61,1,Forest,639.87,21.94999341,2.630222222,0.98,0.427219412,NLT
116,114.18,22.58,2,180,1,Forest,1887,23.03999338,0.454347826,0.98,0.262083008,NLT
117,112.54,23.17,2,275,1,Forest,961.5758333,22.77832672,4.597415862,1,0.289902754,NLT
118,112.54,23.18,2,125,1,Forest,992.1142857,22.9342791,4.377453417,1,0.277224645,NLT
119,112.55,23.17,2,NA,NAA,Forest,777.7406667,22.98799338,4.669217392,0,0.283660085,NLT
120,112.39,23.17,2,NA,NAA,Forest,1027.443333,22.4549934,3.356413044,1.26,0.171756985,NLT
121,112.57,23.17,2,300,1,Forest,1021.57,22.81599339,4.506869566,0,0.368322724,NLT
122,113.37,23.32,2,535,1,Forest,703.88,22.44999339,0.58326087,1.26,0.252993,NLT
123,113.79,23.33,2,106,1,Forest,772.91,21.09999342,2.493913043,0.98,0.18132749,NLT
124,113.78,23.33,2,209,1,Forest,838.64,21.09999342,2.493913043,0.98,0.18132749,NLT
125,113.44,25.23,2,465,1,Forest,1083,15.59999355,3.567608696,1.8,0.13750095,NLT
126,113.46,25.22,2,466,1,Forest,1572,15.59999355,3.22173913,1.12,0.140000138,NLT
127,100.83,21.82,2,1610,2,Forest,1460.23,21.28999342,3.286,1.26,0.04874406,NLT
128,101.27,21.93,2,750,1,Forest,1010.919167,22.51249339,3.17682971,1.17,0.06582796,NLT
129,100.63,22.18,2,700,1,Forest,1450,20.55999344,4.820434783,0.98,0.069553181,NLT
130,109.33,21.74,2,45,1,Forest,1030.04,22.91999338,1.016956522,1.02,0.278051325,NLT
131,106.83,22.17,2,550,1,Forest,829.6163636,21.70681159,2.604120553,0.98,0.094896185,NLT
132,106.94,22.46,2,198,1,Forest,1489.36,21.67999341,3.500434783,1.2,0.094041627,NLT
133,108.14,22.62,2,80,1,Forest,858.73,21.32999342,3.127826087,1,0.158667677,NLT
134,107.48,23.6,2,390,1,Forest,1104.554,20.49999344,1.899565217,1.2,0.11273561,NLT
135,110.13,24.94,2,150,1,Forest,842.91,18.60999348,2.552608696,1.24,0.170335846,NLT
136,110.27,25.59,2,240,1,Forest,791.418,19.35999346,5.756521739,1.24,0.100565946,NLT
137,116.41,25.68,2,400,1,Forest,1342.75,19.05999347,1.833369565,1.12,0.112763063,NLT
138,117.4,23.63,2,21,1,Forest,1234,23.07999338,1.183695652,NA,NA,NLT
139,119.67,25.97,2,9,1,Forest,1041.344444,20.55999344,0.758478261,0.4,NA,NLT
140,117.47,26.15,2,305,1,Forest,1127.775,19.84999345,4.638888889,1.24,0.128785909,NLT
141,117.47,26.18,2,305,1,Forest,1212.118182,20.21503476,4.215703997,1.24,0.083695236,NLT
142,117.6,26.32,2,330,1,Forest,971.2172222,18.3111046,4.444305958,1.24,0.075513716,NLT
143,119.08,26.21,2,370,1,Forest,806.06,20.99999343,2.733913043,1.24,0.088523924,NLT
144,117.47,26.16,2,300,1,Forest,1262.95,20.44285058,4.584409938,1.24,0.063018354,NLT
145,117.95,26.47,2,200,1,Forest,926.9808333,20.06999345,4.59826087,1.24,0.105037806,NLT
146,118.17,26.67,2,350,1,Forest,890.4293333,19.27799347,3.251857005,1.24,0.070694074,NLT
147,117.98,26.8,2,230,1,Forest,878.59,18.98999347,4.204782609,1.12,0.100241867,NLT
148,118.19,26.94,2,200,1,Forest,1391,19.60999346,4.043913043,1.24,0.122637112,NLT
149,118.38,27.07,2,410,1,Forest,1063.31,19.94726618,2.440948616,1.24,0.110605382,NLT
150,107.98,25.25,2,735,1,Forest,973.5,15.87999354,2.706613527,1.2,0.076743919,NLT
151,106.77,26.53,2,1200,2,Forest,1174.975,14.77499357,0.947173914,2.13,0.073517426,NLT
152,115.05,26.73,2,107,1,Forest,743.4666667,19.29666013,1.886449275,1.12,0.184697241,NLT
153,115.06,26.74,2,102,1,Forest,696.2665217,19.20868912,2.271483932,1.12,0.163771261,NLT
154,115.07,26.73,2,88,1,Forest,477.975,19.49999346,2.127608696,1.12,0.14762463,NLT
155,115.06,26.75,2,88,1,Forest,584,19.34499347,2.121195653,1.12,0.160580072,NLT
156,114.63,27.67,2,280,1,Forest,865.4372727,17.83317532,3.947401186,1.24,0.182632376,NLT
157,115.71,29.29,2,60,1,Forest,624.41,19.89999345,2.50173913,1.12,0.323172805,NLT
158,109.78,26.91,2,350,1,Forest,570,17.5499935,2.08826087,1.8,0.114844624,NLT
159,109.6,26.83,2,650,1,Forest,508.04,15.62999355,3.126,1.24,0.079394255,NLT
160,109.43,26.67,2,450,1,Forest,507.2484615,15.58537816,3.485682646,1.8,0.092219816,NLT
161,110.13,27.15,2,350,1,Forest,585,16.46999353,3.347173913,1.24,0.093006606,NLT
162,113.03,28.11,2,75,1,Forest,754.7875,18.42832682,0.428327295,1.12,0.140262275,NLT
163,113.04,28.11,2,80,1,Forest,902.7118182,18.58726621,0.362753623,1.12,0.11296124,NLT
164,113.31,28.41,2,241,1,Forest,364.39,17.41999351,1.518,1.24,0.231573775,NLT
165,118.11,29.21,2,375,1,Forest,593.3333333,13.2399936,4.136521739,3.07,0.072689618,NLT
166,118.24,29.34,2,479,1,Forest,295.67,15.19999356,4.979555556,1.16,0.087539413,NLT
167,118.24,29.35,2,473,1,Forest,274.81,15.19999356,4.979555556,1.16,0.087539413,NLT
168,118.23,29.35,2,449,1,Forest,441.265,15.19999356,4.979555556,1.16,0.087539413,NLT
169,118.14,29.34,2,368,1,Forest,457.26,15.24999356,4.474444444,1.8,0.093288853,NLT
170,118.14,29.33,2,392,1,Forest,437.37,15.24999356,4.474444444,1.8,0.093288853,NLT
171,118.21,29.3,2,656,1,Forest,382.31,13.2399936,4.979555556,1.8,0.086244189,NLT
172,118.19,29.28,2,743,1,Forest,448.35,13.03999361,5.138888889,1.8,0.088154712,NLT
173,121.79,29.8,2,154,1,Forest,1283,15.96999354,4.061086957,3.07,0.540336354,NLT
174,121.8,29.81,2,214,1,Forest,1077,17.10999351,1.717826087,3.07,0.534672094,NLT
175,119.65,30.23,3,NA,NAA,Forest,454.88375,17.7599935,3.016521739,1.12,0.095222161,NLT
176,119.7,30.23,3,150,1,Forest,1067.47125,17.4321526,2.693097826,3.07,0.086893713,NLT
177,119.84,30.25,3,150,1,Forest,598.38,17.37999351,2.816304348,3.07,0.051888815,NLT
178,119.84,30.26,3,150,1,Forest,596.18,17.5199935,2.535434783,3.07,0.42169223,NLT
179,119.78,30.22,3,150,1,Forest,1100.955,17.45999351,1.464565217,3.07,0.222100527,NLT
180,119.43,30.33,3,330,1,Forest,1296.572,13.78599359,3.139347826,3.07,0.087439738,NLT
181,102.35,29.23,2,1145,2,Forest,974.2,14.91999356,3.301304348,1.8,0.069865639,NLT
182,103,29.57,2,3050,4,Forest,590.753,8.477993707,4.022956522,0.74,0.097320007,NLT
183,103.45,30.73,3,826,1,Forest,1083.47,14.90999356,3.732391304,1.08,0.057924095,NLT
184,103.03,30.93,3,3091,4,Forest,794.32,3.099993827,1.928,0.74,0.047798746,LT
185,103.62,30.98,3,911,1,Forest,750.3425,16.15999354,3.626739131,0.86,0.06938039,NLT
186,105.47,31.27,3,500,1,Forest,562.6833333,17.78777128,1.065193237,0.75,0.10246802,NLT
187,102.93,31.3,3,3035,4,Forest,1067.634,-6.694005954,2.090478261,3.02,0.069433824,LT
188,94.39,29.71,2,3980,4,Forest,976,-0.1400061,2.656086957,0.98,0.071239442,LT
189,106.34,29.78,2,770,1,Forest,845.0536364,18.90272075,2.445999121,1.16,0.102330496,NLT
190,110.66,30.91,3,950,1,Forest,714.6066667,14.42999357,2.502888889,1.45,0.079540706,NLT
191,110.49,31.33,3,1321,2,Forest,466.81,7.559993728,3.5725,0.74,0.070913086,NLT
192,110.49,31.32,3,1325,2,Forest,627.03,7.559993728,3.5725,0.74,0.070913086,NLT
193,111.22,32.75,3,355,1,Forest,1107.56,14.67666023,0.664927537,1.2,0.190314829,NLT
194,118.15,33.7,3,15,1,Forest,974,15.42999355,1.057173913,0.97,0.247354503,NLT
195,106.83,34.33,3,1652,2,Forest,815.4533333,11.01999365,2.93673913,0.7,0.072451872,NLT
196,107.67,35.22,3,1095,2,Forest,750.8888889,11.31221587,0.720217928,0.65,0.070170076,NLT
197,109.53,36.42,3,1353,2,Forest,990.5027273,8.486357343,0.911106719,0.65,0.049387469,NLT
198,109.42,36.42,3,1353,2,Forest,1021.611429,9.297136546,0.924565217,0.79,0.070573583,NLT
199,109.32,36.85,3,1198,2,Forest,524.73,8.999993695,0.453913043,0.6,0.064976991,NLT
200,111.92,33.47,3,1344,2,Forest,730.1854545,11.33544819,2.867865613,0.7,0.078727064,NLT
201,105.85,34.26,3,1650,2,Forest,556.79,6.939993741,1.615111111,0.41,0.056110281,NLT
202,100.28,38.4,3,2750,3,Forest,557.1933333,-4.965460538,0.231183013,1.41,0.065073566,LT
203,100.12,39.35,3,1386,2,Forest,850,9.859993676,0,2.41,0.071691356,NLT
204,112.1,36.07,3,1653,2,Forest,556.5083333,9.099993693,0.901304348,0.65,0.063808152,NLT
205,112.39,37.74,3,1390,2,Forest,892.75,7.109993738,0.679130435,0.75,0.080915929,NLT
206,112.37,37.73,3,1443,2,Forest,1212.3,7.157686044,0.476789298,0.75,0.079993568,NLT
207,116.25,39.53,3,30,1,Forest,640.48,13.75666026,0.595869565,0.6,0.038064303,NLT
208,115.43,39.95,3,1350,2,Forest,441.5,6.719993747,3.115326087,0.3,0.071153424,NLT
209,115.43,39.96,3,1050,2,Forest,414,6.829993744,1.362608696,0.74,0.071575931,NLT
210,115.42,39.96,3,1150,2,Forest,422.5,6.274993757,3.291847826,0.74,0.073976548,NLT
211,116.1,40.07,4,145,1,Forest,643.5,8.259993712,1.53173913,0.41,0.067661076,NLT
212,116.08,40.05,4,145,1,Forest,506.5,7.929993719,1.185891305,0.98,0.063985553,NLT
213,116.47,39.9,3,140,1,Forest,357.1428571,13.33142217,0.212135266,0.65,0.028478142,NLT
214,114.26,37.88,3,644,1,Forest,602.296,12.88999361,0.784304348,0.36,0.069099763,NLT
215,124.92,41.85,4,680,1,Forest,498.4566667,4.049993806,2.08826087,0.74,0.078186791,NLT
216,124.9,41.85,4,680,1,Forest,535.16,3.999993807,2.08826087,0.74,0.078186791,NLT
217,123.6,41.91,4,122,1,Forest,551.105,8.899993698,0.50673913,1.95,0.079954528,NLT
218,128.47,42.4,4,738,1,Forest,716.89,3.119993827,2.008913043,0.74,0.072599762,LT
219,128.08,42.4,4,740,1,Forest,562.876,3.175993826,1.738956522,0.82,0.084131784,LT
220,127.53,45.38,4,490,1,Forest,603.9908333,2.53749384,1.903115942,0.74,0.141379323,LT
221,127.57,45.27,4,300,1,Forest,794.8083333,2.564993839,1.939021739,0.74,0.123086039,LT
222,127.57,45.33,4,340,1,Forest,634.915,2.974279544,2.184192547,0.74,0.120266334,LT
223,127.58,45.35,4,340,1,Forest,525.312,2.823993833,2.093521739,0.74,0.132539054,LT
224,128.87,47.19,4,400,1,Forest,956.57,1.379993866,3.01826087,0.74,0.09558338,LT
225,128.87,47.18,4,310,1,Forest,680,1.924993854,3.194021739,0.74,0.090704146,LT
226,128.89,47.19,4,392,1,Forest,670.43,2.269993846,3.167826087,0.74,0.094390808,LT
227,128.9,47.15,4,365,1,Forest,706.87,2.269993846,3.292173913,1.95,0.09444579,LT
228,125.48,51.37,5,463,1,Forest,882.055,-0.900006083,1.632444444,0.74,0.063005947,LT
229,121.5,50.93,5,810,1,Forest,609.34,-5.442505982,1.878804348,0.74,0.115461734,LT
230,121.51,50.83,5,826,1,Forest,940.48,-5.550005979,1.715217391,0.74,0.08954151,LT
231,117.54,25.94,2,717,1,Forest,1351.36,16.56999353,4.196086957,1.16,0.08461576,NLT
232,114.25,29.68,2,168,1,Forest,924.55,15.26999356,2.386,1.02,0.349669865,NLT
233,113.88,29.69,2,161,1,Forest,897,16.98999352,1.288,1.24,0.404007745,NLT
234,113.88,29.71,2,160,1,Forest,889.09,17.30999351,1.288,0.83,0.38870052,NLT
235,104.58,28.42,2,889,1,Forest,1260.6,19.71999346,2.102608696,1.45,0.097699077,NLT
236,119.98,30.08,3,29,1,Forest,1286.278,17.7939935,2.558782609,1.12,0.069926795,NLT
237,119.57,30.3,3,185,1,Forest,1144,17.28999351,2.511521739,3.07,0.079484178,NLT
238,119.67,30.48,3,380,1,Forest,1181,12.39499362,3.169130435,1.8,0.078674757,NLT
239,119.66,30.46,3,380,1,Forest,1201.91,12.62999361,3.092608696,1.8,0.101560515,NLT
240,92.93,34.82,3,4635,4,Grassland,597.0416667,-3.515006025,0.114475902,2.27,0.094610091,LT
241,101.2,37.62,3,3200,4,Grassland,970.915,0.204539347,0.764791231,1.13,0.094242947,LT
242,91.08,30.85,3,4333,4,Grassland,945.958,-0.507733365,0.12983822,1.95,0.14998671,LT
243,111.89,41.78,4,NA,NAA,Grassland,575.5678571,4.78499379,0.143164813,1.2,0.085187522,NLT
244,102.37,32.45,3,3561,4,Grassland,469.59,2.362266571,1.1280182,1.95,0.132258273,LT
245,111.88,41.78,4,NA,NAA,Grassland,581.5315385,4.78499379,0.143164813,1.2,0.085187522,NLT
246,101.2,37.48,3,NA,NAA,Grassland,1729.211176,-3.60227875,0.617178969,3.02,0.074188139,LT
247,118.37,45.95,4,NA,NAA,Grassland,447.9766667,0.029084805,0.300273003,1.65,0.11754929,LT
248,116.37,42.2,4,NA,NAA,Grassland,775.26,3.106357463,0.267087968,0.43,0.093182452,LT
249,111.87,41.87,4,NA,NAA,Grassland,888.1166667,4.403175616,0.120121335,1.2,0.086643843,NLT
250,116.7,43.63,4,1200,2,Grassland,624.485,2.33544839,0.231357432,0.4,0.100158762,LT
251,114.5,27.5,2,NA,NAA,Forest,631,17.53362987,4.520283114,1.24,0.209195583,NLT
252,112.9,22.7,2,NA,NAA,Forest,497,22.65317521,1.603104146,1.26,0.427199053,NLT
253,115.1,26.7,2,NA,NAA,Forest,554,19.5213571,2.366157735,1.24,0.175706752,NLT
254,114.6,36.9,3,NA,NAA,Cropland,476,14.85726629,0.481587462,1.3,0.061251186,NLT
255,90,31.2,3,NA,NAA,Grassland,51,-0.351369732,0.178564206,0.7,0.120216735,LT
256,91.1,30.9,3,NA,NAA,Grassland,369,-0.507733365,0.220738119,1.41,0.15940904,LT
257,101.3,37.6,3,NA,NAA,Grassland,820.1615385,0.513560319,0.740498371,1.65,0.081857043,LT
258,102,29.7,2,NA,NAA,Forest,864.1666667,-10.41182405,1.401112235,1.59,0.056379652,LT
259,103,30.5,3,NA,NAA,Forest,824.8333333,4.585902885,3.70958544,0.74,0.064252929,NLT
260,108.1,34.3,3,NA,NAA,Cropland,426,14.32772085,0.557957533,1.15,0.082996976,NLT
261,110.9,23.5,2,NA,NAA,Forest,922.5,21.97272068,3.544802831,0.98,0.142362208,NLT
262,111.9,33.5,3,NA,NAA,Forest,868.7142857,11.87979883,2.841422794,0.7,0.075321314,NLT
263,112.4,23.3,2,NA,NAA,Forest,578,22.04362977,4.199373104,1.24,0.136800486,NLT
264,115.5,43.9,4,NA,NAA,Cropland,390,3.193630189,0.156521739,1.2,0.092959311,LT
265,115.4,40,4,NA,NAA,Forest,273,8.632266431,1.37322548,0.74,0.070730916,NLT
266,116.1,43.4,4,NA,NAA,Cropland,212.29,1.966812034,0.318351871,1.28,0.109672504,LT
267,116.9,28.3,2,NA,NAA,Cropland,662.5,19.00272074,0.695834176,1,0.288366916,NLT
268,120.4,29.9,2,NA,NAA,Forest,640.3333333,18.17044804,2.242133468,1.8,0.336476598,NLT
269,124.9,41.9,4,NA,NAA,Forest,498.3333333,3.713175632,1.811799798,0.74,0.090813373,LT
270,127.7,45.4,4,NA,NAA,Forest,759.75,1.382266593,2.398827098,0.74,0.121477194,LT
