NO,Lon,Lat,lat,Alt,alt,Eco,month,flux,MMT,SWC,MT,ZZ
46,105.3,27.5,2,260<U+00A1><U+00AB>1015,NAA,Forest,8,2448.724673,20.54999344,0.050335208,4,GS
47,105.3,27.5,2,260<U+00A1><U+00AB>1013,NAA,Forest,6,2122.479392,17.9149935,0.071277831,4,GS
48,105.3,27.5,2,260<U+00A1><U+00AB>1002,NAA,Forest,7,2618.992583,21.07499343,0.047913343,4,GS
49,121.75,50.75,5,839,1,Forest,1,57.67,-28,0.026766954,1,NGS
50,121.75,50.75,5,839,1,Forest,2,76.285,-23.63333333,0.025996856,1,NGS
51,121.75,50.75,5,839,1,Forest,3,131.2783333,-12.46666667,0.034218073,1,NGS
52,121.75,50.75,5,839,1,Forest,4,222.5283333,-0.233333333,0.054114182,1,NGS
53,121.75,50.75,5,839,1,Forest,5,469.025,6.5,0.075383859,1,GS
54,121.75,50.75,5,839,1,Forest,6,1034.045,14.43333333,0.223666615,1,GS
55,121.75,50.75,5,839,1,Forest,7,1383.593333,16.53333333,0.288659903,1,GS
56,121.75,50.75,5,839,1,Forest,8,1156.198333,13.56666667,0.277749866,1,GS
57,121.75,50.75,5,839,1,Forest,9,780.1266667,7.566666667,0.09995954,1,GS
58,121.75,50.75,5,839,1,Forest,10,285.6733333,-1.033333333,0.053881732,1,NGS
59,121.75,50.75,5,839,1,Forest,11,155.3683333,-16.43333333,0.03727223,1,NGS
60,121.75,50.75,5,839,1,Forest,12,86.01833333,-26.7,0.028537933,1,NGS
61,117.25,42.75,4,1372,2,Forest,6,1066.165,15.7,0.108386017,2,GS
62,117.25,42.75,4,1372,2,Forest,7,1684.84,18.4,0.131436756,2,GS
63,117.25,42.75,4,1372,2,Forest,8,1538.475,18.9,0.079487675,2,GS
64,117.25,42.75,4,1372,2,Forest,9,1066.895,11.4,0.085806639,2,GS
65,117.25,42.75,4,1372,2,Forest,10,302.22,6.3,0.077679302,2,NGS
66,117.25,42.75,4,1372,2,Forest,11,75.555,-6,0.047339105,2,NGS
67,117.25,42.75,4,1372,2,Forest,12,91.25,-13.6,0.032982574,2,NGS
68,117.25,42.75,4,1372,2,Forest,1,86.87,-17.1,0.02923377,2,NGS
69,117.25,42.75,4,1372,2,Forest,2,91.25,-8.4,0.046158064,2,NGS
70,117.25,42.75,4,1372,2,Forest,3,112.42,-4.5,0.082089961,2,NGS
71,117.25,42.75,4,1372,2,Forest,4,234.695,4.4,0.067450859,2,NGS
72,117.25,42.75,4,1372,2,Forest,5,425.225,11,0.068784711,2,GS
